City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,cacabelos,42.6002,-6.7237,284.93,97,92,1.23,ES,1698613525
111,olonkinbyen,70.9221,-8.7187,273.5,69,100,1.62,SJ,1698613526
112,laguna,38.421,-121.4238,296.64,20,0,2.06,US,1698613527
113,jamestown,42.097,-79.2353,282.05,95,100,4.12,US,1698613299
114,bubaque,11.2833,-15.8333,301.51,75,13,3.98,GW,1698613529
115,namtsy,62.7161,129.6658,259.08,96,100,1.88,RU,1698613529
116,udachny,66.4167,112.4,250.84,98,74,1.46,RU,1698613530
117,novy bydzov,50.2415,15.4908,286.14,88,100,1.98,CZ,1698613531
118,kingston,17.997,-76.7936,303.68,78,20,4.63,JM,1698613190
119,ribeira grande,38.5167,-28.7,289.37,67,75,2.06,PT,1698613326
120,port lincoln,-34.7333,135.8667,286.83,82,5,5.9,AU,1698613430
121,aasiaat,68.7098,-52.8699,266.44,81,100,0.82,GL,1698613536
122,anadyr,64.75,177.4833,271.43,92,75,7.0,RU,1698613537
123,cedeira,43.6797,-8.0209,285.58,77,100,7.51,ES,1698613538
124,douglas,41.3,-96.167,276.25,54,75,6.17,US,1698613311
125,kone,-21.0595,164.8658,295.65,50,13,2.74,NC,1698613337
126,puerto rico,-26.796,-55.024,299.3,90,8,2.03,AR,1698613541
127,pasuquin,18.3328,120.6177,298.12,88,20,1.54,PH,1698613542
128,port alfred,-33.5906,26.891,287.69,69,93,2.68,ZA,1698613543
129,berwick-upon-tweed,55.7833,-2.0,282.28,85,100,9.87,GB,1698613543
130,tual,-5.6667,132.75,300.48,81,100,3.85,ID,1698613544
131,lorengau,-2.0226,147.2712,298.79,87,100,3.27,PG,1698613297
132,san rafael del yuma,18.4299,-68.6739,303.26,81,99,3.21,DO,1698613546
133,uturoa,-16.7333,-151.4333,299.29,79,15,6.26,PF,1698613419
134,tayu,-6.5397,111.0518,298.53,81,21,3.38,ID,1698613548
135,colonia,50.9333,6.95,287.02,76,45,6.02,DE,1698613505
136,al kharijah,25.4514,30.5464,298.79,36,6,3.5,EG,1698613549
137,nova vicosa,-17.8919,-39.3719,298.04,77,27,6.94,BR,1698613537
138,kyabe,9.4515,18.9449,297.19,76,51,1.05,TD,1698613509
139,kuqa,41.7278,82.9364,286.26,34,49,2.21,CN,1698613552
140,san pedro pochutla,15.7333,-96.4667,304.99,64,31,2.97,MX,1698613553
141,happy valley-goose bay,53.3168,-60.3315,274.32,51,75,9.77,CA,1698613554
142,aykhal,66.0,111.5,247.28,100,41,2.18,RU,1698613359
143,barra,-11.0894,-43.1417,303.66,27,94,3.56,BR,1698613555
144,galveston,29.3669,-94.9669,304.92,77,100,4.63,US,1698613499
145,chui,-33.6971,-53.4616,292.47,82,32,3.75,UY,1698613558
146,masina,-4.3836,15.3914,298.99,75,86,0.7,CD,1698613559
147,hargeysa,9.56,44.065,292.25,91,82,3.29,SO,1698613559
148,fort st. john,56.2499,-120.8529,270.09,74,100,1.54,CA,1698613560
149,zhangye,38.9342,100.4517,283.36,27,0,2.95,CN,1698613561
150,rikaze,29.25,88.8833,276.13,62,40,0.38,CN,1698613433
151,black forest,39.0131,-104.7008,268.68,71,75,6.69,US,1698613363
152,kailua-kona,19.6406,-155.9956,302.75,74,20,4.63,US,1698613564
153,east london,-33.0153,27.9116,287.55,67,95,5.72,ZA,1698613350
154,bol,13.4586,14.7147,302.91,38,5,6.79,TD,1698613566
155,lhasa,29.65,91.1,277.95,64,91,2.03,CN,1698613567
156,carnarvon,-24.8667,113.6333,291.95,78,0,11.37,AU,1698613568
157,enewetak,11.3474,162.3373,302.01,76,55,8.67,MH,1698613569
158,moussoro,13.6408,16.4901,304.84,12,39,5.25,TD,1698613569
159,norwich,52.6278,1.2983,283.29,91,0,4.12,GB,1698613503
160,taoudenni,22.6783,-3.9836,306.04,10,0,3.26,ML,1698613497
